midi_pitch,note,pitch_class
0,C-1,1
1,Db-1,2
2,D-1,3
3,Eb-1,4
4,E-1,5
5,F-1,6
6,Gb-1,7
7,G-1,8
8,Ab-1,9
9,A-1,10
10,Bb-1,11
11,B-1,12
12,C0,1
13,Db0,2
14,D0,3
15,Eb0,4
16,E0,5
17,F0,6
18,Gb0,7
19,G0,8
20,Ab0,9
21,A0,10
22,Bb0,11
23,B0,12
24,C1,1
25,Db1,2
26,D1,3
27,Eb1,4
28,E1,5
29,F1,6
30,Gb1,7
31,G1,8
32,Ab1,9
33,A1,10
34,Bb1,11
35,B1,12
36,C2,1
37,Db2,2
38,D2,3
39,Eb2,4
40,E2,5
41,F2,6
42,Gb2,7
43,G2,8
44,Ab2,9
45,A2,10
46,Bb2,11
47,B2,12
48,C3,1
49,Db3,2
50,D3,3
51,Eb3,4
52,E3,5
53,F3,6
54,Gb3,7
55,G3,8
56,Ab3,9
57,A3,10
58,Bb3,11
59,B3,12
60,C4,1
61,Db4,2
62,D4,3
63,Eb4,4
64,E4,5
65,F4,6
66,Gb4,7
67,G4,8
68,Ab4,9
69,A4,10
70,Bb4,11
71,B4,12
72,C5,1
73,Db5,2
74,D5,3
75,Eb5,4
76,E5,5
77,F5,6
78,Gb5,7
79,G5,8
80,Ab5,9
81,A5,10
82,Bb5,11
83,B5,12
84,C6,1
85,Db6,2
86,D6,3
87,Eb6,4
88,E6,5
89,F6,6
90,Gb6,7
91,G6,8
92,Ab6,9
93,A6,10
94,Bb6,11
95,B6,12
96,C7,1
97,Db7,2
98,D7,3
99,Eb7,4
100,E7,5
101,F7,6
102,Gb7,7
103,G7,8
104,Ab7,9
105,A7,10
106,Bb7,11
107,B7,12
108,C8,1
109,Db8,2
110,D8,3
111,Eb8,4
112,E8,5
113,F8,6
114,Gb8,7
115,G8,8
116,Ab8,9
117,A8,10
118,Bb8,11
119,B8,12
120,C9,1
121,Db9,2
122,D9,3
123,Eb9,4
124,E9,5
125,F9,6
126,Gb9,7
127,G9,8
